Company,Latest Report,Latest Close,180 Day Avg,Day's Price Change,1 Wk Price Chg %,4 Wk Price Chg %,12 Wk Price Chg %,YTD Price Chg %,1 Year Price Chg %,Market Cap,Paidup Capital,Reserves & Surplus,Revenue,Gross Profit,Net Income,Distributable Profit,Gross Margin MRQ %,SG&A Margin MRQ %,EBITDA Margin MRQ %,EBIT Margin MRQ %,Net Profit Margin MRQ %,Gross Margin TTM %,SG&A Margin TTM %,EBITDA Margin TTM %,EBIT Margin TTM %,Net Profit Margin TTM %,ROE (F) %,ROE (MRQ) %,ROE (TTM) %,ROA (F) %,ROA (MRQ) %,ROA (TTM)%,EPS (F),EPS (MRQ),EPS (TTM),EPS (D),Bookvalue,PE (D),PE (F),PE (MRQ),PE (TTM),PBV,Current Ratio,Quick Ratio,Debt to Asset,Equity Multiplier,Beta Weekly,Beta Monthly,VaR 1 Week @ 5%,VaR 1 Week @ 1%,VaR 1 Month @ 5%,VaR 1 Month @ 1%,"S.D of Returns [Wk, 1Y]%","Mean Returns [Wk, 1Y]%","Estimated Risk Return Trade Off [Wk, 1Y]%","Historical Probability of Current Returns [Wk, 1Y]%",RSI,Relative Strength %,50 day MA vs 200 day MA %,Price Vs 52 Week High %,MACD Crossover
Kamana Sewa Bikas Bank Limited,2025/26 Q4,472.00,480.11,-1.10,-1.46%,0.43%,-2.07%,8.51%,-0.38%,"16,571,194,536.00","4,211,930.81","2,742,420.44","5,192,758.28","2,410,802.81","894,178.12","567,879.29",46.23%,18.24%,0.00%,41.75%,23.84%,46.43%,22.55%,0.00%,26.62%,17.22%,13.13%,17.94%,14.19%,1.20%,1.63%,1.23%,23.15,31.64,23.15,23.15,180.07,20.38,20.38,14.91,20.38,2.62,0.00%,6.25%,90.81%,1087.61%,1.37,1.14,-1.85%,-2.64%,-11.91%,-16.95%,2.88%,-0.03%,-9600.00%,69.15%,38.94,1.98%,3.62%,-8.70%,-1.02
Karnali Development Bank,2024/25 Q1,810.00,649.36,18.00,0.00%,0.00%,0.00%,0.00%,0.00%,"4,072,923,000.00","502,830.00","-12,593.50","88,526.07",991.37,"-19,829.00","-203,429.36",1.12%,35.32%,0.00%,-22.40%,-22.40%,14.92%,26.90%,0.00%,-11.10%,-11.10%,-17.83%,-17.83%,-9.61%,-1.39%,-1.39%,-0.90%,-15.77,-15.77,-9.77,-15.77,97.49,-51.35,-51.35,-51.35,-82.83,8.30,0.00%,33.00%,91.47%,1172.20%,1.38,1.32,-2.53%,-3.62%,-15.79%,-23.04%,0.00%,0.00%,0.00%,0.00%,56.53,4.66%,32.54%,0.00%,-12.09
Khanikhola Hydropower Co. Ltd.,2025/26 Q3,320.00,273.13,0.00,8.11%,28.10%,22.14%,49.46%,21.60%,"2,980,571,520.00","931,428.60","-106,438.27","86,572.43","86,572.43","-14,555.20",0.00,100.00%,40.50%,59.50%,8.66%,-33.18%,100.00%,35.56%,124.12%,69.54%,-0.38%,-2.35%,-3.68%,-0.05%,-1.35%,-2.12%,-0.03%,-2.08,-3.27,-0.03,-2.08,88.57,-153.58,-153.58,-97.76,"-8,960.16",3.61,843.65%,843.63%,46.22%,173.34%,1.14,0.85,-2.04%,-2.91%,-13.30%,-19.00%,6.53%,0.26%,2511.54%,12.41%,72.03,22.74%,2.86%,-1.54%,4.58
Kumari Bank,2025/26 Q3,216.00,215.54,-13.90,-2.70%,3.35%,-0.92%,20.40%,0.46%,"56,647,860,408.00","26,225,861.34","15,348,934.58","21,578,301.42","9,302,222.92","4,178,048.41","1,860,017.54",39.34%,19.21%,0.00%,33.40%,22.77%,43.07%,19.07%,0.00%,39.15%,19.97%,13.72%,14.36%,15.66%,1.20%,1.26%,1.34%,21.24,22.23,22.91,21.24,158.52,10.16,10.16,9.71,9.42,1.36,0.00%,14.74%,91.23%,1140.85%,0.95,1.08,-1.44%,-2.04%,-13.19%,-18.44%,3.64%,0.00%,0.00%,77.42%,46.53,1.78%,6.16%,-12.44%,-0.66
Laxmi Sunrise Bank Limited,2025/26 Q3,222.80,219.37,4.80,-1.76%,2.63%,1.32%,4.65%,4.11%,"54,244,029,404.40","26,781,163.00","20,105,969.00","18,911,243.00","7,876,279.00","2,038,184.00","114,572.00",43.13%,29.40%,0.00%,51.07%,37.95%,42.45%,26.97%,0.00%,24.37%,16.83%,5.95%,20.23%,10.02%,0.57%,1.94%,0.99%,10.14,34.52,16.81,10.14,175.07,21.95,21.95,6.45,13.25,1.27,0.00%,10.78%,90.44%,1046.44%,0.90,0.98,-1.38%,-1.96%,-12.07%,-16.99%,2.66%,0.07%,3800.00%,75.66%,48.45,5.52%,2.73%,-7.17%,-0.33
Laxmi Laghubitta Bittiya Sanstha,2025/26 Q3,894.80,954.51,27.50,-0.36%,-2.30%,-6.21%,-6.79%,-25.18%,"3,951,992,470.80","441,662.10","410,328.50","622,229.43","352,388.42","57,265.33",0.00,59.63%,51.44%,0.00%,14.40%,11.03%,56.64%,58.12%,0.00%,4.43%,3.14%,9.09%,11.16%,3.39%,1.13%,1.39%,0.41%,17.28,21.23,6.02,17.28,192.90,51.75,51.75,42.13,148.42,4.63,1.43%,9.33%,87.17%,779.16%,0.96,0.92,-2.04%,-2.89%,-13.92%,-19.41%,4.00%,-0.53%,-754.72%,48.30%,40.96,-1.25%,-3.62%,-25.18%,-1.96
Life Insurance Nepal,2025/26 Q3,776.00,819.03,-4.00,-1.52%,-0.47%,-4.66%,-12.51%,-10.93%,"42,680,000,000.00","5,500,000.00","2,579,600.88","24,317,459.43","2,779,212.68","320,467.33",0.00,11.54%,1.23%,9.02%,8.86%,1.22%,11.78%,1.50%,8.56%,8.39%,1.20%,5.32%,4.77%,4.82%,0.28%,0.25%,0.27%,7.76,6.97,7.27,7.76,176.47,99.88,99.88,111.25,106.60,5.28,0.00%,0.00%,93.75%,1599.84%,0.81,1.19,-1.65%,-2.33%,-14.40%,-20.38%,3.04%,-0.22%,-1381.82%,66.67%,38.55,-0.48%,-4.17%,-16.42%,-0.31
Lumbini Bikas Bank Ltd.,2025/26 Q4,491.00,490.78,-13.00,0.16%,2.51%,2.08%,6.74%,-13.54%,"17,792,259,962.00","3,623,678.16","4,121,079.54","4,598,990.83","1,997,221.86","851,015.56","431,214.41",47.91%,24.84%,0.00%,36.80%,25.41%,43.43%,19.08%,0.00%,26.48%,18.50%,11.21%,15.24%,11.80%,1.27%,1.73%,1.27%,23.48,31.93,23.48,23.48,213.72,20.90,20.90,15.37,20.90,2.29,0.00%,8.43%,88.60%,877.21%,1.42,1.15,-1.97%,-2.80%,-13.05%,-18.56%,3.46%,-0.30%,-1153.33%,44.71%,48.34,4.27%,1.29%,-14.92%,-0.15
Machhapuchhre Bank,2025/26 Q3,253.00,248.58,9.50,-1.56%,3.27%,2.02%,13.96%,3.59%,"29,402,033,969.00","15,086,211.56","8,224,772.52","10,134,678.60","4,398,350.25","1,658,659.81","767,069.02",44.40%,29.36%,0.00%,28.74%,19.73%,42.79%,26.00%,0.00%,26.61%,18.61%,11.10%,13.00%,13.41%,0.91%,1.06%,1.13%,18.29,21.42,21.24,18.29,168.05,13.82,13.82,11.80,11.90,1.50,0.00%,8.63%,90.65%,1069.46%,0.94,0.95,-1.43%,-2.04%,-11.53%,-16.27%,2.68%,0.07%,3828.57%,72.97%,48.51,4.66%,5.75%,-8.33%,-0.46
Mahalaxmi Bikas Bank Limited,2025/26 Q4,354.30,368.34,-2.70,0.40%,1.81%,-2.93%,-1.31%,-7.89%,"15,222,351,402.60","4,511,281.06","2,951,362.27","4,337,979.31","2,148,750.75","629,951.62","465,144.80",49.94%,31.91%,0.00%,23.62%,16.44%,49.53%,26.77%,0.00%,21.62%,14.52%,8.53%,9.21%,8.72%,0.98%,1.06%,0.98%,13.96,15.07,13.96,13.96,165.42,25.37,25.37,23.50,25.37,2.14,0.00%,6.51%,88.53%,871.77%,1.43,1.05,-2.02%,-2.88%,-11.83%,-16.68%,2.64%,-0.18%,-1466.67%,41.31%,47.33,-0.61%,-2.14%,-14.00%,0.05
Mahuli Samudayik Laghubitta Sanstha Ltd.,2025/26 Q4,"1,255.00","1,273.03",-10.00,2.87%,1.62%,2.37%,-1.34%,-19.62%,"4,642,542,435.00","387,494.86","495,636.48","842,394.56","497,435.44","193,278.21",0.00,58.39%,18.21%,0.00%,44.40%,31.08%,59.05%,31.15%,0.00%,32.78%,22.94%,22.76%,33.19%,23.68%,2.95%,4.29%,3.10%,49.87,72.74,49.87,49.87,227.90,25.16,25.16,17.25,25.16,5.50,-4.42%,17.75%,86.74%,754.40%,1.09,0.92,-2.12%,-3.02%,-13.66%,-19.36%,3.37%,-0.41%,-821.95%,16.82%,52.36,5.46%,-4.20%,-19.62%,5.56
Manjushree Financial Institution,2025/26 Q3,785.00,798.34,30.00,-0.38%,1.68%,-1.01%,9.33%,14.86%,"10,609,690,265.00","1,351,552.84","1,110,976.84","1,585,582.01","684,772.75","218,910.21","150,354.94",45.48%,20.71%,0.00%,25.96%,16.41%,42.98%,20.04%,0.00%,25.15%,16.61%,12.08%,13.83%,15.28%,1.07%,1.22%,1.37%,21.59,24.72,26.79,21.59,182.20,36.34,36.34,31.75,29.29,4.30,0.00%,26.41%,91.01%,1112.63%,1.35,1.21,-1.93%,-2.74%,-13.89%,-19.72%,3.77%,0.22%,1713.64%,56.32%,50.39,0.62%,5.04%,-12.78%,-1.43
Mero Microfinance Bittiya Sanstha Ltd.,2025/26 Q3,666.00,721.74,-4.00,-1.62%,-3.48%,-6.87%,-6.40%,-20.88%,"9,450,540,000.00","1,486,402.50","770,938.30","1,443,262.78","832,311.50","148,575.60",0.00,59.23%,52.38%,0.00%,14.72%,10.30%,57.94%,45.83%,0.00%,18.11%,11.91%,8.87%,8.96%,10.59%,1.14%,1.15%,1.44%,13.32,13.47,15.83,13.32,151.86,49.97,49.97,49.43,42.06,4.38,2.78%,55.15%,87.67%,811.02%,1.23,1.13,-1.97%,-2.80%,-13.44%,-18.82%,3.55%,-0.44%,-806.82%,63.23%,36.93,-4.73%,-3.48%,-22.56%,-1.22
Miteri Development Bank,2025/26 Q4,578.00,609.32,-10.00,-1.03%,0.87%,-3.67%,-0.34%,-9.80%,"7,034,839,156.00","1,217,100.00","525,728.61","674,168.88","307,429.51","141,215.82","113,549.17",47.59%,16.26%,0.00%,35.63%,24.94%,45.60%,17.83%,0.00%,29.92%,20.95%,8.21%,10.47%,8.25%,1.34%,1.71%,1.44%,11.60,14.78,11.60,11.60,143.19,49.81,49.81,39.08,49.81,4.03,0.00%,26.42%,83.75%,615.42%,1.29,1.15,-1.97%,-2.82%,-12.08%,-17.34%,3.05%,-0.23%,-1326.09%,60.35%,42.72,0.20%,-1.15%,-17.43%,-0.09
Mithila Laghubitta Bikas Bank,2025/26 Q3,"1,121.00","1,232.53",4.00,-1.15%,-1.67%,-5.00%,-15.52%,-21.12%,"2,510,291,172.00","255,843.62","255,003.97","321,636.34","183,796.35","73,597.29",0.00,53.02%,39.38%,0.00%,30.94%,21.66%,57.72%,36.22%,0.00%,34.59%,23.70%,19.40%,16.39%,22.74%,2.81%,2.37%,3.04%,38.35,32.40,40.84,38.35,199.67,29.22,29.22,34.59,27.44,5.61,2.57%,15.35%,85.49%,689.06%,1.03,0.99,-2.08%,-2.95%,-14.23%,-20.27%,3.09%,-0.46%,-671.74%,58.83%,40.41,-3.30%,-8.64%,-28.83%,-0.15
Muktinath Bikas Bank,2025/26 Q3,369.50,373.61,-0.50,-0.14%,1.79%,-0.67%,4.97%,-4.09%,"26,038,436,649.00","8,000,389.00","4,407,606.00","7,248,453.00","3,445,804.00","942,598.00","367,366.00",48.18%,20.06%,0.00%,17.35%,12.15%,46.76%,22.39%,0.00%,25.30%,17.40%,10.25%,8.83%,14.72%,0.94%,0.81%,1.32%,15.70,13.52,21.93,15.70,155.09,23.52,23.52,27.31,16.84,2.38,0.00%,12.45%,90.80%,1086.78%,1.10,0.84,-1.44%,-2.05%,-9.74%,-13.71%,2.90%,-0.08%,-3625.00%,50.83%,48.67,2.98%,0.37%,-9.44%,-0.07
Multipurpose Finance,2025/26 Q3,611.00,633.62,5.00,-1.18%,0.99%,0.99%,0.81%,-1.89%,"3,728,322,000.00","610,200.00","117,811.30","187,559.49","53,155.80","5,323.77","5,323.77",28.41%,25.83%,0.00%,-5.90%,-4.13%,29.50%,27.85%,0.00%,3.74%,2.72%,0.98%,-1.38%,0.96%,0.16%,-0.23%,0.17%,1.16,-1.64,1.14,1.16,119.30,525.23,525.23,-371.20,532.56,5.12,0.00%,55.41%,83.57%,608.61%,1.40,1.31,-2.20%,-3.14%,-14.19%,-20.57%,4.27%,-0.06%,-7116.67%,60.44%,44.93,-0.32%,1.74%,-16.30%,-0.70
Nabil Bank,2025/26 Q4,552.00,528.52,-16.00,-0.45%,4.43%,4.74%,12.20%,7.55%,"149,354,631,168.00","32,056,997.00","39,849,568.00","37,955,399.00","17,009,288.00","7,905,796.00","4,630,074.00",47.83%,17.79%,0.00%,20.54%,12.00%,44.81%,19.30%,0.00%,30.47%,20.83%,11.91%,6.88%,12.15%,1.09%,0.63%,1.14%,29.21,16.87,29.21,29.21,247.28,18.89,18.89,32.72,18.89,2.23,0.00%,12.64%,90.21%,1021.79%,0.74,0.65,-1.16%,-1.63%,-9.28%,-12.86%,2.14%,0.13%,1646.15%,60.68%,57.39,9.40%,4.50%,-1.43%,-0.10
National Hydro Power,2025/26 Q3,277.10,275.94,-5.70,4.57%,9.53%,-2.43%,47.47%,29.74%,"6,834,499,698.00","2,467,162.91","-70,637.92","135,537.34","83,517.33","19,250.98",0.00,35.94%,18.01%,18.66%,-27.83%,-27.74%,54.03%,12.86%,45.30%,20.50%,11.01%,1.07%,-1.12%,1.00%,0.87%,-0.91%,0.82%,1.04,-1.09,0.96,1.04,97.13,266.34,266.34,-253.64,287.37,2.85,536.58%,34.50%,34.24%,123.68%,1.52,1.31,-2.20%,-3.14%,-15.65%,-22.29%,6.57%,0.48%,1368.75%,27.23%,54.89,-1.88%,12.50%,-16.33%,1.85
National Life Insurance,2025/26 Q3,570.00,586.85,8.00,0.00%,-0.04%,-3.01%,-1.38%,-4.82%,"31,194,618,000.00","5,691,649.32","524,929.99","21,121,104.69","2,254,307.25","416,629.88",0.00,10.06%,6.14%,3.92%,3.73%,1.91%,9.77%,4.71%,3.91%,3.64%,1.39%,9.02%,8.43%,6.91%,0.50%,0.46%,0.40%,9.76,9.12,7.39,9.76,130.39,58.40,58.40,62.48,77.06,5.21,0.00%,0.00%,93.16%,1528.33%,1.08,1.21,-1.54%,-2.18%,-12.69%,-17.96%,2.56%,-0.12%,-2133.33%,48.13%,44.33,1.93%,-0.42%,-9.81%,-1.58
National Microfinance Bittiya Sanstha Ltd.,2025/26 Q3,"1,105.00","1,133.05",-0.10,-0.99%,0.07%,-1.34%,-3.57%,-8.34%,"14,714,276,135.00","1,521,363.00","2,426,669.00","2,537,532.00","1,364,659.00","588,661.00",0.00,55.13%,28.14%,0.00%,37.80%,26.46%,55.91%,35.72%,0.00%,28.49%,19.94%,20.44%,23.12%,20.09%,2.52%,2.85%,2.34%,51.59,58.35,46.02,51.59,259.50,21.41,21.41,18.93,24.00,4.25,2.61%,57.00%,87.50%,800.07%,0.98,1.12,-1.72%,-2.44%,-14.33%,-20.24%,2.08%,-0.18%,-1155.56%,65.15%,38.50,3.32%,-0.35%,-9.50%,-1.54
IGI Prudential insurance Limited,2025/26 Q3,429.00,441.65,-10.00,-1.83%,-0.12%,1.90%,3.37%,-20.39%,"12,995,845,863.00","3,029,334.63","5,984.49","1,557,453.45","426,146.06",438.06,0.00,61.63%,20.83%,40.80%,40.34%,28.23%,33.99%,26.84%,9.73%,7.21%,4.65%,0.02%,24.66%,3.29%,0.00%,4.97%,0.76%,0.01,23.97,3.31,0.01,182.71,"22,249.70","22,249.70",17.89,129.55,1.22,0.00%,0.00%,62.19%,264.47%,1.22,1.41,-1.77%,-2.50%,-16.51%,-23.11%,3.30%,-0.45%,-733.33%,66.43%,40.94,3.96%,2.52%,-20.79%,-0.62
Neco Insurance,2025/26 Q3,615.10,627.87,0.10,-0.49%,0.64%,0.62%,4.43%,-9.42%,"16,555,616,407.50","2,772,278.30","370,002.08","1,683,448.01","714,963.84","163,956.17",0.00,59.47%,27.32%,33.17%,31.27%,22.76%,52.05%,28.56%,25.37%,22.35%,14.52%,6.81%,19.09%,11.10%,1.78%,4.99%,2.98%,7.88,22.10,12.46,7.88,223.10,78.00,78.00,27.83,49.36,2.01,0.00%,0.00%,49.83%,199.31%,0.87,0.95,-1.31%,-1.85%,-10.79%,-15.16%,2.76%,-0.20%,-1380.00%,54.18%,42.89,5.00%,3.57%,-10.05%,-0.03
Nepal Bank,2025/26 Q3,269.00,266.30,13.50,-0.37%,1.89%,1.89%,13.03%,-6.07%,"39,526,921,870.00","14,694,022.93","25,390,161.22","16,197,586.10","7,313,205.86","2,792,981.92","1,739,887.27",49.32%,24.49%,0.00%,47.96%,25.57%,46.02%,24.13%,0.00%,26.61%,16.90%,9.47%,15.14%,9.78%,0.85%,1.36%,0.92%,25.34,40.50,25.74,25.34,272.79,10.61,10.61,6.64,10.44,0.98,0.00%,22.70%,91.11%,1124.54%,0.92,0.83,-1.31%,-1.85%,-10.21%,-14.18%,3.18%,-0.15%,-2120.00%,52.76%,51.93,4.47%,4.01%,-7.59%,-0.06
Nepal Doorsanchar Company,2025/26 Q3,862.00,867.70,2.00,-0.35%,1.77%,-3.15%,-1.59%,1.18%,"155,160,000,000.00","18,000,000.00","81,158,964.00","28,854,894.00","24,330,301.00","6,272,997.00",0.00,83.42%,25.23%,44.90%,32.70%,21.90%,85.64%,25.70%,44.37%,29.76%,15.58%,8.52%,8.59%,6.53%,6.19%,6.24%,4.77%,46.46,46.85,33.88,46.46,550.88,18.55,18.55,18.39,25.44,1.56,242.49%,92.37%,26.73%,136.48%,0.85,0.74,-1.40%,-1.99%,-10.01%,-14.24%,1.62%,0.02%,8100.00%,59.03%,52.79,1.51%,-0.26%,-5.69%,-0.16
Grameen Bikas Laghubitta,2025/26 Q3,737.00,768.22,0.00,-1.47%,0.74%,-4.52%,-6.35%,-14.89%,"7,241,025,000.00","1,005,350.00","1,962,278.28","1,588,151.48","1,013,038.17","301,588.71",0.00,65.34%,33.83%,0.00%,37.83%,15.30%,63.03%,38.90%,0.00%,29.35%,17.60%,13.95%,11.34%,13.02%,2.54%,2.06%,2.46%,39.99,32.49,36.72,39.99,295.18,18.42,18.42,22.67,20.06,2.49,-1.98%,26.21%,81.79%,549.21%,1.16,1.06,-1.84%,-2.61%,-14.25%,-19.88%,2.62%,-0.35%,-748.57%,66.69%,39.12,-1.22%,-2.99%,-14.89%,-0.11
Nepal Insurance,2025/26 Q3,500.00,510.85,-5.00,-0.99%,-2.53%,3.09%,-0.04%,-18.45%,"12,742,875,500.00","2,548,575.00","45,805.25","1,086,327.13","490,475.26","106,017.18",0.00,68.88%,20.11%,48.76%,41.85%,26.91%,55.73%,29.21%,26.52%,23.71%,15.46%,5.49%,15.71%,10.35%,1.87%,5.34%,3.18%,5.54,15.86,9.57,5.54,173.04,90.14,90.14,31.52,52.21,2.45,0.00%,0.00%,41.46%,170.82%,1.13,1.17,-1.69%,-2.40%,-13.77%,-19.62%,2.84%,-0.40%,-710.00%,58.37%,36.53,5.10%,2.39%,-18.78%,-0.88
Nepal Investment Bank,2025/26 Q3,195.90,200.15,-10.40,-1.56%,2.57%,-0.91%,2.30%,-13.15%,"66,857,917,409.10","34,128,595.00","34,033,347.00","23,725,140.00","9,579,558.00","3,146,768.00","-647,970.00",41.64%,20.93%,0.00%,31.34%,20.22%,40.55%,17.58%,0.00%,25.16%,16.24%,6.23%,9.11%,8.03%,0.69%,1.00%,0.92%,12.29,17.97,15.71,12.29,199.72,15.93,15.93,10.89,12.46,0.98,0.00%,17.22%,88.93%,903.74%,0.82,1.13,-1.39%,-1.96%,-12.57%,-17.60%,3.26%,-0.27%,-1207.41%,65.50%,47.15,1.11%,-1.32%,-14.08%,-0.31
Nepal Life Insurance,2025/26 Q3,743.80,769.08,-3.20,-1.09%,0.53%,-2.57%,-3.53%,-0.20%,"67,155,941,425.40","9,480,201.37","783,333.52","52,366,736.68","4,747,672.75","454,894.35",0.00,11.40%,1.37%,7.49%,7.29%,0.71%,10.58%,1.45%,6.31%,6.16%,0.56%,5.94%,4.62%,3.95%,0.21%,0.17%,0.15%,6.39,4.97,4.28,6.39,126.32,116.25,116.25,149.42,173.70,6.87,0.00%,0.00%,95.92%,2453.31%,1.07,1.27,-1.47%,-2.07%,-14.33%,-20.02%,2.60%,-0.02%,-13000.00%,66.11%,41.42,1.26%,-1.22%,-11.46%,-1.20
Nepal Lube Oil,2025/26 Q3,269.40,260.86,5.20,0.00%,0.00%,0.00%,6.02%,10.66%,"196,565,285.40","87,435.24","401,719.68","1,158,849.20","331,851.21","51,274.11",0.00,31.16%,21.04%,10.12%,10.12%,6.06%,28.64%,20.81%,19.76%,19.76%,4.42%,14.66%,25.88%,11.55%,6.08%,10.74%,4.74%,78.18,138.06,58.64,78.18,559.44,3.44,3.44,1.95,4.59,0.48,144.79%,90.22%,57.92%,237.61%,-0.01,0.00,-0.19%,-0.27%,-1.62%,-2.47%,0.00%,0.00%,0.00%,0.00%,0.00,4.66%,0.00%,0.00%,2.02
Nepal Sbi Bank,2025/26 Q3,406.40,403.73,17.90,-0.12%,4.66%,2.63%,0.35%,3.12%,"44,294,178,518.40","11,335,124.39","10,152,982.77","10,811,896.30","3,869,415.71","1,461,785.72","576,112.27",36.94%,20.10%,0.00%,17.33%,12.15%,37.39%,19.58%,0.00%,20.22%,13.77%,9.16%,8.10%,9.90%,0.77%,0.68%,0.85%,17.19,15.18,18.18,17.19,189.57,23.63,23.63,26.75,22.35,2.14,0.00%,30.09%,91.56%,1185.51%,0.82,0.98,-1.48%,-2.10%,-10.47%,-15.07%,2.15%,0.05%,4300.00%,53.15%,54.86,5.58%,0.44%,-7.64%,-0.22
Ngadi Group Power Ltd.,2025/26 Q3,412.80,436.67,2.90,1.20%,0.93%,-7.44%,4.01%,4.11%,"15,284,161,075.20","3,878,429.97","2,012,278.44","105,632.07","93,204.60","40,469.23",0.00,89.68%,2.87%,95.86%,61.05%,20.24%,87.83%,10.52%,87.85%,65.23%,26.39%,0.92%,0.29%,0.59%,0.87%,0.28%,0.55%,1.39,0.44,0.89,1.39,151.88,296.70,296.70,929.86,462.84,2.71,840.24%,329.73%,18.00%,106.01%,1.01,1.02,-1.76%,-2.51%,-12.95%,-18.83%,3.50%,0.06%,5833.33%,37.34%,49.55,-4.50%,1.01%,-15.93%,0.08
NIC Asia Bank,2025/26 Q3,327.90,347.91,-1.30,-3.53%,-0.61%,-6.82%,0.95%,-14.94%,"48,914,702,193.00","14,917,566.92","10,885,935.79","17,487,944.03","6,308,251.64","140,324.16","-2,980,044.32",35.64%,21.85%,0.00%,8.71%,0.17%,36.09%,20.28%,0.00%,2.75%,0.61%,0.68%,0.13%,0.50%,0.05%,0.01%,0.04%,1.25,0.24,0.97,1.25,172.97,261.43,261.43,"1,339.02",337.06,1.89,0.00%,29.55%,93.32%,1497.01%,0.94,0.96,-1.42%,-2.00%,-12.72%,-17.53%,3.51%,-0.31%,-1132.26%,82.50%,40.08,-5.46%,-0.60%,-18.23%,-1.29
Nirdhan Utthan Bank,2025/26 Q3,613.00,664.76,11.00,0.33%,1.16%,-7.40%,-13.10%,-17.44%,"16,012,049,174.00","2,742,683.73","3,138,319.99","2,707,896.63","1,394,568.11","155,021.71",0.00,52.21%,53.24%,0.00%,9.20%,3.83%,52.87%,36.49%,0.00%,23.85%,13.74%,3.52%,2.41%,8.89%,0.71%,0.48%,1.81%,7.53,5.14,18.61,7.53,214.42,81.34,81.34,119.12,32.93,2.85,6.85%,7.70%,80.05%,501.28%,1.05,0.94,-1.63%,-2.31%,-11.71%,-16.30%,2.30%,-0.38%,-605.26%,37.88%,44.71,-3.93%,-7.34%,-19.10%,0.11
Nlg Insurance,2025/26 Q3,567.00,622.87,-8.00,-2.91%,-1.39%,-1.20%,-14.74%,-29.38%,"14,544,824,049.00","2,667,833.40","17,057.41","1,305,418.83","488,135.12","34,810.18",0.00,45.59%,27.31%,9.16%,6.90%,4.54%,40.29%,28.78%,9.39%,7.00%,4.08%,1.77%,3.62%,2.81%,0.47%,0.97%,0.76%,1.73,3.56,2.72,1.73,170.92,325.90,325.90,159.12,208.21,2.04,0.00%,0.00%,53.47%,214.94%,0.96,1.17,-1.66%,-2.36%,-15.15%,-21.68%,3.73%,-0.69%,-540.58%,72.77%,40.41,2.42%,-7.03%,-30.20%,0.13
NMB Bank,2025/26 Q4,243.90,244.73,-3.20,-1.89%,3.52%,-0.04%,2.14%,-0.22%,"44,796,395,934.00","22,285,041.00","15,774,730.00","21,041,592.00","9,426,239.00","4,013,673.00","1,808,287.00",40.50%,15.03%,0.00%,36.48%,26.22%,44.80%,19.93%,0.00%,29.07%,19.07%,11.64%,15.38%,12.01%,1.04%,1.37%,1.09%,20.81,27.50,20.81,20.81,181.79,11.71,11.71,8.86,11.71,1.34,0.00%,16.94%,90.42%,1044.10%,0.86,0.76,-1.34%,-1.90%,-9.66%,-13.44%,2.55%,-0.02%,-12750.00%,77.07%,48.83,4.62%,1.40%,-9.60%,0.03
NMB Microfinance,2025/26 Q3,614.70,648.10,13.70,-2.10%,1.10%,-2.27%,-11.43%,-19.57%,"4,434,748,232.40","721,449.14","306,187.69","725,320.69","444,206.74","87,013.31",0.00,62.94%,47.57%,0.00%,22.78%,20.37%,61.36%,53.54%,0.00%,15.26%,12.59%,11.36%,20.42%,12.29%,1.34%,2.40%,1.59%,16.08,28.89,17.09,16.08,142.44,38.22,38.22,21.27,35.95,4.31,1.11%,34.34%,88.32%,856.39%,1.12,1.00,-1.92%,-2.72%,-13.06%,-18.17%,3.25%,-0.41%,-792.68%,70.06%,44.55,-1.78%,-5.24%,-19.57%,0.42
Oriental Hotels,2025/26 Q3,670.00,702.31,3.00,-0.74%,0.15%,-4.00%,-5.15%,-23.50%,"7,936,116,500.00","1,184,494.96","2,702,693.41","740,756.75","158,537.30","-29,351.35",0.00,23.12%,29.21%,23.12%,12.36%,-0.93%,26.58%,30.24%,26.58%,10.93%,-5.13%,-1.01%,-0.20%,-1.14%,-0.65%,-0.13%,-0.74%,-3.30,-0.64,-3.76,-3.30,328.17,-202.78,-202.78,"-1,033.40",-178.10,2.04,168.46%,143.04%,35.50%,155.04%,1.02,0.96,-1.72%,-2.46%,-11.01%,-15.77%,3.07%,-0.51%,-601.96%,52.99%,44.96,0.37%,-2.28%,-25.74%,-1.49
Pokhara Finance,2025/26 Q3,364.00,382.42,6.00,0.00%,0.00%,-0.82%,1.11%,-12.77%,"3,940,506,388.00","1,082,556.60","-396,158.14","431,165.34","138,917.36","73,077.47","83,431.35",47.32%,36.86%,0.00%,-142.48%,-106.32%,26.03%,48.51%,0.00%,71.15%,20.95%,12.71%,-83.88%,18.18%,1.17%,-7.75%,1.41%,9.00,-59.39,10.62,9.00,63.40,40.44,40.44,-6.12,34.26,5.74,0.00%,50.86%,91.57%,1185.82%,1.48,1.11,-2.54%,-3.60%,-20.13%,-28.34%,2.75%,-0.30%,-916.67%,49.27%,43.72,-0.23%,-2.44%,-16.51%,-0.56
